study	cage	diet	mouse	colonytype	colony	timepoint	Species	Strain	isolation.source	body.part	country	date	plate	location_nooil	timeA_nooil	timeB_nooil	timeC_nooil	timeD_nooil	timeE_nooil	location_oil	timeA_oil	timeB_oil	timeC_oil	timeD_oil	timeE_oil	timeA	timeB	timeC	timeD	timeE	blank_nooil	blank_oil	ph	mouseweight	notes	Gavage	GavageGeneral
AP4	239557	LF	416	nonwhite	A	W10			mouse	SI	north america	10/7/16	plate1	A2	0.119	0.118	0.124	0.13	0.194	A8	0.178	0.127	0.129	0.131	0.136	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		NaCl	
AP4	239557	LF	416	nonwhite	B	W10			mouse	SI	north america	10/7/16	plate1	B2	0.123	0.126	0.124	0.127	0.142	B8	0.212	0.142	0.144	0.145	0.148	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		NaCl	
AP4	239557	LF	416	nonwhite	C	W10			mouse	SI	north america	10/7/16	plate1	C2	0.123	0.121	0.132	0.139	0.177	C8	0.182	0.131	0.133	0.132	0.135	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		NaCl	
AP4	239557	LF	416	nonwhite	D	W10			mouse	SI	north america	10/7/16	plate1	D2	0.128	0.136	0.145	0.155	0.234	D8	0.223	0.147	0.154	0.154	0.158	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		NaCl	
AP4	239557	LF	416	nonwhite	E	W10			mouse	SI	north america	10/7/16	plate1	E2	0.125	0.128	0.129	0.128	0.131	E8	0.209	0.131	0.134	0.134	0.136	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		NaCl	
AP4	239557	LF	416	nonwhite	F	W10			mouse	SI	north america	10/7/16	plate1	F2	0.124	0.129	0.135	0.141	0.199	F8	0.144	0.124	0.127	0.126	0.129	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		NaCl	
AP4	239557	LF	416	nonwhite	G	W10			mouse	SI	north america	10/7/16	plate1	G2	0.12	0.122	0.125	0.126	0.156	G8	0.166	0.122	0.124	0.124	0.122	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		NaCl	
AP4	239557	LF	416	nonwhite	H	W10			mouse	SI	north america	10/7/16	plate1	H2	0.126	0.123	0.124	0.125	0.146	H8	0.179	0.128	0.128	0.127	0.126	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		NaCl	
AP4	239557	LF	477	nonwhite	A	W10			mouse	SI	north america	10/7/16	plate1	A4	0.115	0.115	0.119	0.125	0.182	A10	0.209	0.134	0.136	0.139	0.15	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239557	LF	477	nonwhite	B	W10			mouse	SI	north america	10/7/16	plate1	B4	0.122	0.123	0.124	0.125	0.132	B10	0.214	0.144	0.148	0.151	0.153	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239557	LF	477	nonwhite	C	W10			mouse	SI	north america	10/7/16	plate1	C4	0.123	0.119	0.131	0.142	0.184	C10	0.189	0.137	0.141	0.14	0.144	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239557	LF	477	nonwhite	D	W10			mouse	SI	north america	10/7/16	plate1	D4	0.121	0.122	0.131	0.134	0.179	D10	0.21	0.142	0.142	0.142	0.145	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239557	LF	477	nonwhite	E	W10			mouse	SI	north america	10/7/16	plate1	E4	0.12	0.118	0.124	0.125	0.143	E10	0.205	0.136	0.139	0.14	0.146	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239557	LF	477	nonwhite	F	W10			mouse	SI	north america	10/7/16	plate1	F4	0.124	0.124	0.13	0.133	0.164	F10	0.17	0.129	0.133	0.131	0.131	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
